name,age,city,number_of_children,spouse_name,number_of_siblings,occupation,sex
Robert Thomas,94,Port Terri,1,Peter Nguyen,4,Health and safety adviser,Male
Sandra Smith,67,Port Danachester,1,Morgan Welch,8,"Engineer, manufacturing",Other
Jeremy Tate,22,Port Robertofurt,5,Breanna Knight,1,"Engineer, technical sales",Other
Brittany Gallagher,69,West Jonathan,4,Kyle Bell,8,"Psychologist, forensic",Other
Walter Simpson,60,Bishopmouth,4,Angela Garcia,0,Media planner,Other
Mark Marshall,25,Wyattmouth,3,Jennifer Wells,8,Quantity surveyor,Female
Todd Perry,84,Ronaldview,5,Claudia Davenport,4,Insurance risk surveyor,Female
Kristin Scott,57,Webbburgh,0,Erin Anderson,2,"Engineer, chemical",Other
Kristin Wells,85,New Coreymouth,3,Joshua Baldwin,3,Mental health nurse,Other
Kevin Cowan,18,South Ianfort,0,Martin Garza,10,"Therapist, horticultural",Male
Ronald Case,32,Brandonton,1,Jonathan Green,0,"Civil engineer, consulting",Other
Nancy Hernandez,80,Jasmineton,3,Mrs. Carrie Navarro,9,"Physicist, medical",Female
Mercedes Jones,22,Lisaberg,5,Cynthia Armstrong,7,Equities trader,Male
Dr. Cynthia Ruiz,66,Charlesshire,1,Mr. James Gardner,6,Ceramics designer,Other
Debbie Norris MD,77,Rodriguezview,0,Gerald Davidson,10,Sub,Female
Debbie Tate,87,East Dennis,2,Omar Hamilton,4,Barrister's clerk,Other
Joseph Martinez,54,Williamsport,0,Zachary Sanchez,6,"Horticulturist, commercial",Female
Jonathan Mccarty,60,West Kevin,3,Bryan Brown,5,"Designer, furniture",Male
Bryan Dominguez,92,North Danielhaven,2,Carol Wright,7,Comptroller,Male
Debra Turner,45,Dillonville,5,Connor Warren,9,Town planner,Male
Nathan Bowman,85,Bakerchester,1,Joseph Ramirez,6,"Social research officer, government",Other
Rebecca Hodges,41,Timothyport,0,Sharon Floyd,5,Sub,Other
Cynthia Thornton,70,Port William,1,Robert Smith,1,Chartered loss adjuster,Female
